Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"41,743",Ministry of Government Services,Operating Expense,"Agencies, Boards and Commissions",Advertising Review Board,Advertising Review Board,Employee benefits,
2014-2015,"44,114",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Policy and Agency Coordination,Corporate Policy and Agency Coordination,Supplies and equipment,
2014-2015,"45,700",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Transfer payments,Archives Support Grants
2014-2015,"46,897",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"87,236",Ministry of Government Services,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"51,544",Ministry of Government Services,Operating Expense,Human Resources Services,Diversity Office,Diversity Office,Transportation and communication,
2014-2015,"57,425",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario I & IT Cluster,ServiceOntario I & IT Cluster,Supplies and equipment,
2014-2015,"60,579",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Salaries and wages,
2014-2015,"66,171",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"79,193",Ministry of Government Services,Operating Expense,Ministry Administration,"Minister without Portfolio, Salary",Statutory Appropriations,Salaries and wages,
2014-2015,"84,004",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Policy and Agency Coordination,Corporate Policy and Agency Coordination,Transportation and communication,
2014-2015,"91,512",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"98,758",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2014-2015,"100,000",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Transfer payments,Grants to the Institute of Public Administration of Canada
2014-2015,"108,353",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"113,418",Ministry of Government Services,Operating Expense,Enterprise Business Services,Open Government,Open Government,Employee benefits,
2014-2015,"119,712",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2014-2015,"122,156",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"125,238",Ministry of Government Services,Operating Expense,Human Resources Services,Labour Relations Secretariat,Labour Relations Secretariat,Employee benefits,
2014-2015,"142,704",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"162,000",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Transfer payments,Quarter Century Club
2014-2015,"208,044",Ministry of Government Services,Operating Expense,Enterprise Business Services,Central Agencies I&IT Cluster,Central Agencies I&IT Cluster,Supplies and equipment,
2014-2015,"228,916",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"234,088",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"279,553",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"310,324",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Supplies and equipment,
2014-2015,"358,994",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Justice of the Peace Supplemental Pension Plan
2014-2015,"378,836",Ministry of Government Services,Operating Expense,Human Resources Services,Diversity Office,Diversity Office,Employee benefits,
2014-2015,"401,047",Ministry of Government Services,Operating Expense,"Agencies, Boards and Commissions",Office of the Conflict of Interest Commissioner,Office of the Conflict of Interest Commissioner,Services,
2014-2015,"406,350",Ministry of Government Services,Operating Expense,"Agencies, Boards and Commissions",Office of the Conflict of Interest Commissioner,Office of the Conflict of Interest Commissioner,Salaries and wages,
2014-2015,"408,015",Ministry of Government Services,Operating Expense,"Agencies, Boards and Commissions",Advertising Review Board,Advertising Review Board,Salaries and wages,
2014-2015,"451,832",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"485,644",Ministry of Government Services,Operating Expense,Human Resources Services,Diversity Office,Diversity Office,Services,
2014-2015,"508,976",Ministry of Government Services,Operating Expense,Human Resources Services,Labour Relations Secretariat,Labour Relations Secretariat,Services,
2014-2015,"534,760",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Other transactions,Other
2014-2015,"543,624",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Supplies and equipment,
2014-2015,"582,256",Ministry of Government Services,Operating Expense,"Agencies, Boards and Commissions",Advertising Review Board,Advertising Review Board,Services,
2014-2015,"602,464",Ministry of Government Services,Operating Expense,Enterprise Business Services,Open Government,Open Government,Services,
2014-2015,"742,582",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"840,767",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Policy and Agency Coordination,Corporate Policy and Agency Coordination,Employee benefits,
2014-2015,"852,638",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Transportation and communication,
2014-2015,"1,041,357",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Employee benefits,
2014-2015,"1,053,794",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Workers Compensation (WSIB)
2014-2015,"1,111,801",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Policy and Agency Coordination,Corporate Policy and Agency Coordination,Services,
2014-2015,"1,123,968",Ministry of Government Services,Operating Expense,Human Resources Services,Labour Relations Secretariat,Labour Relations Secretariat,Salaries and wages,
2014-2015,"1,189,586",Ministry of Government Services,Operating Expense,Enterprise Business Services,Open Government,Open Government,Salaries and wages,
2014-2015,"1,288,301",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"1,320,182",Ministry of Government Services,Capital Expense,Ministry Administration,Ministry Administration,Ministry Administration,Services,
2014-2015,"1,328,601",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Employee benefits,
2014-2015,"1,486,890",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"1,564,907",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Transportation and communication,
2014-2015,"1,641,006",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Justice of the Peace Supplemental Pension Plan
2014-2015,"1,645,254",Ministry of Government Services,Capital Expense,ServiceOntario,ServiceOntario,ServiceOntario,Services,
2014-2015,"1,648,648",Ministry of Government Services,Operating Expense,Enterprise Business Services,Central Agencies I&IT Cluster,Central Agencies I&IT Cluster,Transportation and communication,
2014-2015,"1,825,543",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Other Benefits
2014-2015,"2,174,551",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario I & IT Cluster,ServiceOntario I & IT Cluster,Employee benefits,
2014-2015,"2,305,343",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Services,
2014-2015,"2,622,770",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"2,814,863",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"2,843,213",Ministry of Government Services,Operating Expense,Human Resources Services,Diversity Office,Diversity Office,Salaries and wages,
2014-2015,"3,218,831",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario I & IT Cluster,ServiceOntario I & IT Cluster,Transportation and communication,
2014-2015,"3,644,884",Ministry of Government Services,Capital Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Services,
2014-2015,"3,757,888",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Group Life Insurance
2014-2015,"29,491",Ministry of Government Services,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"6,814,397",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Policy and Agency Coordination,Corporate Policy and Agency Coordination,Salaries and wages,
2014-2015,"7,488,875",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Public Service Supplementary Plan
2014-2015,"7,492,338",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2014-2015,"7,815,603",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Group Life Insurance
2014-2015,"7,898,920",Ministry of Government Services,Operating Expense,Enterprise Business Services,Central Agencies I&IT Cluster,Central Agencies I&IT Cluster,Employee benefits,
2014-2015,"8,793,297",Ministry of Government Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"8,930,221",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Salaries and wages,
2014-2015,"9,405,398",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Other transactions,Summer Employment
2014-2015,"9,544,293",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Employee benefits,
2014-2015,"9,595,741",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Supplies and equipment,
2014-2015,"9,807,417",Ministry of Government Services,Capital Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Services,
2014-2015,"10,412,743",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario,ServiceOntario,Supplies and equipment,
2014-2015,"12,969,723",Ministry of Government Services,Operating Expense,Enterprise Business Services,"Information, Privacy and Archives","Information, Privacy and Archives",Services,
2014-2015,"15,033,032",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario,ServiceOntario,Transportation and communication,
2014-2015,"16,959,463",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Employee benefits,
2014-2015,"17,314,475",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario I & IT Cluster,ServiceOntario I & IT Cluster,Salaries and wages,
2014-2015,"18,960,512",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Vacation Pay and Compensated Absences
2014-2015,"20,576,525",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario,ServiceOntario,Employee benefits,
2014-2015,"26,598,257",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Services,
2014-2015,"31,274,789",Ministry of Government Services,Operating Expense,Human Resources Services,OPS Workplace Safety and Insurance Board Centralized Services,OPS Workplace Safety and Insurance Board Centralized Services,Services,
2014-2015,"35,610,520",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Provincial Judges' Benefits Fund
2014-2015,"37,513,826",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Ontario Provincial Police Association Benefits
2014-2015,"45,436,529",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario I & IT Cluster,ServiceOntario I & IT Cluster,Services,
2014-2015,"55,236,115",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Dental Plan
2014-2015,"60,483,256",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Transportation and communication,
2014-2015,"62,737,527",Ministry of Government Services,Operating Expense,Human Resources Services,HROntario,HROntario,Salaries and wages,
2014-2015,"63,253,100",Ministry of Government Services,Operating Expense,Enterprise Business Services,Central Agencies I&IT Cluster,Central Agencies I&IT Cluster,Salaries and wages,
2014-2015,"65,063,420",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Legislative Severance
2014-2015,"72,761,953",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Employment Insurance
2014-2015,"87,257,790",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Long-Term Income Protection
2014-2015,"103,173,858",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario,ServiceOntario,Services,
2014-2015,"104,873,569",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Employer Health Tax
2014-2015,"119,006,277",Ministry of Government Services,Operating Expense,ServiceOntario,ServiceOntario,ServiceOntario,Salaries and wages,
2014-2015,"120,945,069",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Salaries and wages,
2014-2015,"139,160,586",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Supplementary Health and Hospital Plan
2014-2015,"148,942,575",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Retired Employees' Benefits
2014-2015,"153,699,887",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Canada Pension Plan
2014-2015,"170,296,490",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Retired Employees' Benefits
2014-2015,"219,699,577",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Ontario Public Service Employees' Union Pension Plan
2014-2015,"219,968,588",Ministry of Government Services,Operating Expense,Enterprise Business Services,Corporate Information and Information Technology,Corporate Information and Information Technology,Services,
2014-2015,"245,645,494",Ministry of Government Services,Operating Expense,Enterprise Business Services,Central Agencies I&IT Cluster,Central Agencies I&IT Cluster,Services,
2014-2015,"292,525,578",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Prior Period Obligations and Actuarial Adjustments,Prior Period Obligations and Actuarial Adjustments,Employee benefits,Public Service Pension Plan
2014-2015,"348,694,878",Ministry of Government Services,Operating Expense,Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee and Pensioner Benefits (Employer Share),Employee benefits,Public Service Pension Plan
2014-2015,-,Ministry of Government Services,Capital Expense,Enterprise Business Services,Ontario Shared Services,,,
2014-2015,"-7,583,751",Ministry of Government Services,Operating Expense,Enterprise Business Services,Proceedings Against the Crown Act,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry of Government Services,Capital Expense,ServiceOntario,ServiceOntario I & IT Cluster,,,
2014-2015,"84,499,314",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Salaries and wages,
2014-2015,"14,062,682",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Employee benefits,
2014-2015,"8,047,393",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Transportation and communication,
2014-2015,"51,513,263",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Services,
2014-2015,"1,933,610",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Supplies and equipment,
2014-2015,"9,747,326",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Transfer payments,Supply Chain Management and Innovation Projects in the Broader Public Sector
2014-2015,"-1,110,382",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Salaries and wages,Recoveries
2014-2015,"-175,366",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Employee benefits,Recoveries
2014-2015,"-338,047",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Transportation and communication,Recoveries
2014-2015,"-24,194,488",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Services,Recoveries
2014-2015,"-2,250",Ministry of Government Services,Operating Expense,Enterprise Business Services,Ontario Shared Services,Ontario Shared Services,Supplies and equipment,Recoveries
2014-2015,"-36,839",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Transportation and communication,Recoveries
2014-2015,-,Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"1,535,739",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Supplies and equipment,
2014-2015,"4,843,885",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Transportation and communication,
2014-2015,385,Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Salaries and wages,
2014-2015,"6,145,073",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Employee benefits,
2014-2015,"43,443,045",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Salaries and wages,
2014-2015,"73,294,633",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Services,
2014-2015,"18,711",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Supplies and equipment,
2014-2015,"23,264",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"49,301",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"29,812",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ontario Review Board,Ontario Review Board,Supplies and equipment,
2014-2015,"35,722",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Transportation and communication,
2014-2015,"42,859",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"44,630",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Assistive Devices Program,Assistive Devices Program,Supplies and equipment,
2014-2015,"48,844",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Supplies and equipment,
2014-2015,"56,464",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"68,899",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"70,138",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Drug Programs,Drug Programs,Supplies and equipment,
2014-2015,"80,991",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research,Health Policy and Research,Health Policy and Research,Supplies and equipment,
2014-2015,"81,119",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transportation and communication,
2014-2015,"84,827",Ministry of Health and Long-Term Care,Operating Expense,e-Health and Information Management,e-Health and Information Management,e-Health and Information Management,Supplies and equipment,
2014-2015,"85,000",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"112,587",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"150,172",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"160,000",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Bad Debt Expense,Statutory Appropriations,Other Transactions,
2014-2015,"23,400",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Grants to compensate for municipal taxation - psychiatric hospitals
2014-2015,"205,477",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Supplies and equipment,
2014-2015,"25,425",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Grants to compensate for municipal taxation - psychiatric hospitals
2014-2015,"213,993",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ontario Review Board,Ontario Review Board,Employee benefits,
2014-2015,"28,425",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Grants to compensate for municipal taxation - psychiatric hospitals
2014-2015,"233,750",Ministry of Health and Long-Term Care,Operating Expense,Public Health,Public Health,Public Health,Transfer payments,Public Health Associations
2014-2015,"49,050",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,Grants to compensate for municipal taxation - psychiatric hospitals
2014-2015,"77,625",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"289,516",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research,Health Policy and Research,Health Policy and Research,Transportation and communication,
2014-2015,"330,586",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Drug Programs,Drug Programs,Transportation and communication,
2014-2015,"96,975",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"358,316",Ministry of Health and Long-Term Care,Capital Expense,e-Health and Information Management,Amortization,Statutory Appropriations,Other Transactions,
2014-2015,"378,002",Ministry of Health and Long-Term Care,Operating Expense,e-Health and Information Management,e-Health and Information Management,e-Health and Information Management,Transportation and communication,
2014-2015,"387,466",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Assistive Devices Program,Assistive Devices Program,Employee benefits,
2014-2015,"391,864",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"105,375",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"154,200",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"500,304",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"504,850",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2014-2015,"514,175",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Assistive Devices Program,Assistive Devices Program,Transportation and communication,
2014-2015,"525,698",Ministry of Health and Long-Term Care,Operating Expense,Public Health,Public Health,Public Health,Transportation and communication,
2014-2015,"541,598",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Ontario Health Insurance,Ontario Health Insurance,Supplies and equipment,
2014-2015,"600,182",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"630,365",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Supplies and equipment,
2014-2015,"159,225",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"172,500",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Clair,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"751,683",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"754,750",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ontario Review Board,Ontario Review Board,Transportation and communication,
2014-2015,"190,725",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"766,211",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance,Assistive Devices Program,Assistive Devices Program,Services,
2014-2015,"211,725",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer payments,Grants to compensate municipal taxation - public hospitals
2014-2015,"850,024",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Bad Debt Expense,Statutory Appropriations,Other Transactions,
2014-2015,"890,342",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Employee benefits,
2014-2015,"1,047,400",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer payments,Acquired Brain Injury
2014-2015,"1,054,576",Ministry of Health and Long-Term Care,Capital Expense,Information Systems,Amortization,Statutory Appropriations,Other transactions,
2014-2015,"1,087,809",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
