Year,Amount ($),Ministry Name (Level 1),"Expenditure Category (Operating / Capital)
(Level 2)","Program Name
(Level 3)","Activity / Item
(Level 4)","Sub-Item 
(Level 5)",Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2016-17,"20,715,626",Ministry Of Natural Resources And Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Services,
2016-17,"62,146,317",Ministry Of Natural Resources And Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Salaries and wages,
2016-17,"937,126",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Services,
2016-17,"5,121,126",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Salaries and wages,
2016-17,"116,729",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Supplies and equipment,
2016-17,"160,990",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Transportation and communication,
2016-17,"441,005",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Employee benefits,
2016-17,"620,961",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Services,
2016-17,"3,975,949",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Salaries and wages,
2016-17,"-318,312",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Recoveries,
2016-17,"142,216",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Supplies and equipment,
2016-17,"733,041",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Transportation and communication,
2016-17,"1,375,336",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Employee benefits,
2016-17,"3,764,413",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Services,
2016-17,"9,376,747",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Salaries and wages,
2016-17,"471,045",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Supplies and equipment,
2016-17,"2,484,008",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Transportation and communication,
2016-17,"4,949,435",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Employee benefits,
2016-17,"9,337,716",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Services,
2016-17,"32,666,822",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Transfer Payments,Compensation to Victims of Crime
2016-17,"33,307,169",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Salaries and wages,
2016-17,"189,802",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Supplies and equipment,
2016-17,"426,544",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Transportation and communication,
2016-17,"610,876",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Services,
2016-17,"882,112",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Employee benefits,
2016-17,"7,157,336",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Salaries and wages,
2016-17,"24,328,436",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Legal Aid Ontario,,Transfer Payments,Legal Aid Fund Certificates - Administration
2016-17,"-48,682,110",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Recoveries,
2016-17,"241,728",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Supplies and equipment,
2016-17,"1,205,211",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Transportation and communication,
2016-17,"2,848,371",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Employee benefits,
2016-17,"20,507,775",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Salaries and wages,
2016-17,"54,012,104",Ministry Of Natural Resources And Forestry,Operating Expense,Land And Resources Information And Information Technology Cluster,Land and Resources Information Technology Cluster,,Services,
2016-17,"7,346",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Supplies and equipment,
2016-17,"42,264",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Transportation and communication,
2016-17,"88,154",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Services,
2016-17,"120,680",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Employee benefits,
2016-17,"1,006,411",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and wages,
2016-17,"244,997",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2016-17,"22,650",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2016-17,"42,045",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,
2016-17,"245,115",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,
2016-17,"420,759",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2016-17,"1,715,205",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,
2016-17,"-5,652,200",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,
2016-17,"64,212",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2016-17,"120,474",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,
2016-17,"218,225",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,
2016-17,"1,685,128",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,
2016-17,"6,668,304",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,
2016-17,"6,644",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,
2016-17,"26,311",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,
2016-17,"50,910",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2016-17,"195,903",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,
2016-17,"589,825",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,
2016-17,"-348,509",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Recoveries,
2016-17,257,Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,
2016-17,"458,503",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,
2016-17,"13,921",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2016-17,"21,124",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,
2016-17,"1,961,675",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2016-17,"-66,201",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2016-17,"17,680",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2016-17,"136,229",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,
2016-17,"214,597",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,
2016-17,"1,756,020",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,
2016-17,"16,667",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2016-17,"49,301",Ministry Of Northern Development And Mines,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act"
2016-17,"-7,775,863",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Recoveries,
2016-17,"100,000",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Northern Ontario Municipal Associations
2016-17,"201,202",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Supplies and equipment,
2016-17,"373,348",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,GO North Investor Program
2016-17,"571,863",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Community Services
2016-17,"651,217",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transportation and communication,
2016-17,"700,000",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Small Business Enterprise Centres
2016-17,"998,693",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Economic Development
2016-17,"1,435,453",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Employee benefits,
2016-17,"2,363,000",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Owen Sound Transportation Company
2016-17,"5,000,000",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Industrial Support - Special Assistance
2016-17,"7,833,751",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Services,
2016-17,"9,602,548",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Salaries and wages,
2016-17,"12,976,880",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Aboriginal Economic Development
2016-17,"34,608,009",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Ontario Northland Transportation Commission
2016-17,"60,000,000",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Northern Ontario Heritage Fund
2016-17,"113,065,120",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Northern Economic Development,,Transfer Payments,Northern Industrial Electricity Rate Program
2016-17,"29,722",Ministry Of Northern Development And Mines,Operating Expense,Northern Development Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"47,996",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Transfer Payments,Mapping Ontario's Geological Opportunities
2016-17,"245,986",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Transfer Payments,Reporting Ontario’s Mining Activities
2016-17,"1,039,484",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Supplies and equipment,
2016-17,"1,515,910",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Transportation and communication,
2016-17,"2,273,100",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Transfer Payments,Focused Flow-through Share Tax Credit
2016-17,"3,198,625",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Employee benefits,
2016-17,"13,899,892",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Services,
2016-17,"21,000,462",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Mineral Sector Competitiveness,,Salaries and wages,
2016-17,"11,543",Ministry Of Northern Development And Mines,Operating Expense,Mines And Minerals Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"45,181,383",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Legal Aid Ontario,,Transfer Payments,Legal Aid Fund Community Legal Clinics
2016-17,"337,982,881",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Legal Aid Ontario,,Transfer Payments,Legal Aid Fund Certificates - Client Services
2016-17,"350,000",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Law Commission of Ontario  ,Transfer Payments,Law Commission of Ontario
2016-17,"74,364",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Policy,Supplies and equipment,
2016-17,"294,087",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Policy,Transportation and communication,
2016-17,"442,910",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Policy,Employee benefits,
2016-17,"1,986,299",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Policy,Services,
2016-17,"4,658,592",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Policy,Salaries and wages,
2016-17,"14,616",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Public Inquiries  ,Supplies and equipment,
2016-17,"44,411",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Public Inquiries  ,Employee benefits,
2016-17,"94,623",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Public Inquiries  ,Transportation and communication,
2016-17,"559,215",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Public Inquiries  ,Salaries and wages,
2016-17,"2,216,361",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Policy,Public Inquiries  ,Services,
2016-17,"41,999",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"166,613",Ministry Of The Attorney General,Operating Expense,"Policy, Justice Programs And Agencies Program",Statutory Appropriations,,Other transactions,Hearings under the Police Services Act
2016-17,"211,732",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victim Witness Assistance,,Supplies and equipment,
2016-17,"112,989,097",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Leasing Costs,Services,
2016-17,"25,359",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2016-17,"98,937",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,
2016-17,"400,772",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,
2016-17,"433,499",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2016-17,"2,964,541",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,
2016-17,"104,593",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,
2016-17,"338,175",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,
2016-17,"1,540,841",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,
2016-17,"2,417,558",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,
2016-17,"10,504,995",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,
2016-17,403,Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,
2016-17,"37,747",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,
2016-17,"47,775",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2016-17,"105,256",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,
2016-17,"5,665,336",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2016-17,"28,502",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2016-17,"232,006",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,
2016-17,"387,127",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2016-17,"599,676",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,
2016-17,"3,171,352",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,
2016-17,"51,527",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act"
2016-17,"53,730",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"17,939,845",Ministry Of Community Safety And Correctional Services,Operating Expense,Ministry Administration Program,Statutory Appropriations,,Other transactions,Payments under the Financial Administration Act
2016-17,"929,590",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victim Witness Assistance,,Transportation and communication,
2016-17,"939,182",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victim Witness Assistance,,Services,
2016-17,"2,761,276",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victim Witness Assistance,,Employee benefits,
2016-17,"16,203,042",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victim Witness Assistance,,Salaries and wages,
2016-17,"141,372",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Supplies and equipment,
2016-17,"419,677",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transportation and communication,
2016-17,"600,000",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Specialized Services
2016-17,"993,730",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Employee benefits,
2016-17,"1,000,000",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Drug Treatment Courts
2016-17,"1,662,703",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Child Victims' Program
2016-17,"4,168,041",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Services,
2016-17,"6,708,662",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Salaries and wages,
2016-17,"8,154,700",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Supervised Access
2016-17,"8,686,517",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Special Victims' Projects
2016-17,"10,582,591",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Grants for Partner Assault Response Programs
2016-17,"12,830,340",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Victim Crisis Assistance Ontario
2016-17,"14,074,291",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Victims' Services  ,,Transfer Payments,Grants for Sexual Assault Initiatives
2016-17,"-107,419",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Recoveries,
2016-17,"136,362",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Supplies and equipment,
2016-17,"174,851",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Transportation and communication,
2016-17,"993,539",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Employee benefits,
2016-17,"8,212,837",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Salaries and wages,
2016-17,"29,409,152",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Children's Lawyer,Services,
2016-17,"410,623",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Supplies and equipment,
2016-17,"957,963",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Transportation and communication,
2016-17,"3,262,223",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Services,
2016-17,"4,323,777",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Employee benefits,
2016-17,"31,143,664",Ministry Of The Attorney General,Operating Expense,Victims And Vulnerable Persons Program,Vulnerable Persons  ,Public Guardian and Trustee/Accountant of the Ontario Court (General Division),Salaries and wages,
2016-17,"6,038,400",Ministry Of The Attorney General,Operating Expense,Political Contribution Tax Credit,Political Contribution Tax Credit  ,,Transfer Payments,Political Contribution Tax Credit
2016-17,"36,967,500","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Marketing,Transfer Payments,Ontario Tourism Marketing Partnership Corporation
2016-17,"153,242","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Transportation and communication,
2016-17,"1,130,844","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Employee benefits,
2016-17,"1,140,479","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Supplies and equipment,
2016-17,"2,070,000","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Transfer Payments,Ontario Place Corporation
2016-17,"2,404,956","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Services,
2016-17,"7,122,800","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Transfer Payments,St. Lawrence Parks Commission
2016-17,"7,337,302","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Planning and Operations,Salaries and wages,
2016-17,"167,695","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Supplies and equipment,
2016-17,"186,612","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Transportation and communication,
2016-17,"734,163","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Employee benefits,
2016-17,"5,654,220","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Salaries and wages,
2016-17,"6,909,802","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Services,
2016-17,"9,569,101","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Transfer Payments,Ontario 150
2016-17,"16,917,712","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Transfer Payments,Grants in Support of the Festival and Event Attractions and Support Program
2016-17,"21,204,096","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Transfer Payments,Grants in Support of Tourism Investment Development
2016-17,"37,188,357","Ministry Of Tourism, Culture And Sport",Operating Expense,Tourism Program,Tourism,Tourism Policy and Development,Transfer Payments,Grants in Support of Tourism Regions
2016-17,"232,594","Ministry Of Tourism, Culture And Sport",Operating Expense,"Sport, Recreation And Community Programs","Sport, Recreation and Community  ",,Supplies and equipment,
2016-17,"356,695","Ministry Of Tourism, Culture And Sport",Operating Expense,"Sport, Recreation And Community Programs","Sport, Recreation and Community  ",,Transportation and communication,
2016-17,"663,610","Ministry Of Tourism, Culture And Sport",Operating Expense,"Sport, Recreation And Community Programs","Sport, Recreation and Community  ",,Employee benefits,
2016-17,"1,506,851","Ministry Of Tourism, Culture And Sport",Operating Expense,"Sport, Recreation And Community Programs","Sport, Recreation and Community  ",,Services,
2016-17,"4,699,715","Ministry Of Tourism, Culture And Sport",Operating Expense,"Sport, Recreation And Community Programs","Sport, Recreation and Community  ",,Salaries and wages,
