Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"1,416,883",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2018-19,"1,421,350",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Office of the Provincial Controller,Employee benefits,No Value
2018-19,"1,430,000",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Bail Safety
2018-19,"1,433,868",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"1,434,569",Transportation,Operating Expense,Ministry Administration Program,Business Support,Audit Services,Services,No Value
2018-19,"1,438,086",International Trade,Operating Expense,International Trade,International Trade,No Value,Transportation and communication,No Value
2018-19,"1,438,991",Environment and Climate Change,Operating Expense,Environmental Assessment and Permissions ,Environmental Assessment and Permissions ,No Value,Services,No Value
2018-19,"1,442,551","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Services,No Value
2018-19,"1,460,651",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and wages,No Value
2018-19,"1,467,418",Community Safety and Correctional Services,Operating Expense,Public Safety Training,Public Safety Training,Ontario Police College,Transportation and communication,No Value
2018-19,"1,468,280",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Taxation Policy,No Value,Services,No Value
2018-19,"1,470,000",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Ministry Support Infrastructure,Transfer payments,Transfer of Real Property at Less Than Market Value
2018-19,"1,474,118",Community Safety and Correctional Services,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Other Transactions - Capital Investment
2018-19,"1,479,275",International Trade,Operating Expense,Ministry Administration,Ministry Administration,No Value,Salaries and wages,No Value
2018-19,"1,495,500",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Transfer payments,Assistance to Moosonee
2018-19,"1,496,028",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2018-19,"1,499,670","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Strategy and Policy ,Employee benefits,No Value
2018-19,"1,500,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Institute for Fiscal Studies and Democracy Canada
2018-19,"1,500,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Lazaridis Institute
2018-19,"1,510,000",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer payments,Digital Health
2018-19,"1,510,384",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Case Management Masters Supplemental Pension Plan
2018-19,"1,513,884",Government and Consumer Services,Operating Expense,Government Services Integration Cluster,Government Services Integration Cluster,No Value,Transportation and communication,No Value
2018-19,"1,519,837",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Claire,Transfer payments,Acquired Brain Injury
2018-19,"1,521,065",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Employee benefits,No Value
2018-19,"1,536,184",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"1,537,682",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses - Other, the Financial Administration Act"
2018-19,"1,544,337",Education,Capital Expense,Child Care and Early Years Programs,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"1,549,627",Energy,Operating Expense,Energy Development and Management,Policy and Programs,No Value,Employee benefits,No Value
2018-19,"1,555,252","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Services,No Value
2018-19,"1,560,102","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transportation and communication,No Value
2018-19,"1,560,973",Finance,Operating Expense,Treasury Program,"Statutory Appropriations - Interest on debt, the Financial Administration Act",No Value,Other transactions,Ontario Immigrant Investor Corporation
2018-19,"1,561,709",Health and Long-Term Care,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Facilities Program
2018-19,"1,565,685",Children and Youth Services,Capital Expense,Infrastructure Program,Children and Youth Services Capital,No Value,Transfer payments,Capital Grants
2018-19,"1,568,000",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Fire Marshal and Emergency Management,No Value,Transfer payments,Grants for Emergency Operations
2018-19,"1,579,201","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Transfer payments,Ontario Library Service North
2018-19,"1,582,577",Community and Social Services,Operating Expense,Adults' Services Program,Financial and Employment Supports,No Value,Supplies and equipment,No Value
2018-19,"1,583,167","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transfer payments,Grants in Support of Tourism Investment Development
2018-19,"1,588,049",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Employee benefits,No Value
2018-19,"1,592,994",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,No Value,Employee benefits,No Value
2018-19,"1,593,524","Tourism, Culture and Sport",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Services,No Value
2018-19,"1,600,000",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Victims' Services ,No Value,Transfer payments,Child Victims' Program
2018-19,"1,600,000",Education,Capital Expense,Elementary and Secondary Education Program,Support for Elementary and Secondary Education,No Value,Transfer payments,Ontario Education Communications Authority
2018-19,"1,623,500",Finance,Operating Expense,Treasury Program,"Statutory Appropriations - Interest on debt, the Financial Administration Act",No Value,Other transactions,Canada Mortgage and Housing Corporation
2018-19,"1,626,470",Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Employee benefits,No Value
2018-19,"1,629,804",Community Safety and Correctional Services,Capital Expense,Correctional Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, Institutional Services, the Financial Administration Act"
2018-19,"1,631,407",Labour,Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,No Value,Services,No Value
2018-19,"1,640,653","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Employee benefits,No Value
2018-19,"1,642,369",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Mapping and Geographic Information,Employee benefits,No Value
2018-19,"1,660,382",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,No Value,Services,No Value
2018-19,"1,673,155",Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures,Transfer payments,Community and Environmental Improvements
2018-19,"1,676,354","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Services,No Value
2018-19,"1,683,883",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Transfer payments,Policy Development Engagement Fund
2018-19,"1,688,675","Tourism, Culture and Sport",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Transfer payments,Ontario Place Revitalization
2018-19,"1,693,560",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2018-19,"1,695,769",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Forest Industry ,Employee benefits,No Value
2018-19,"1,702,243",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Employee benefits,No Value
2018-19,"1,708,399","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Provincial Advocate for Children and Youth,No Value,Employee benefits,No Value
2018-19,"1,710,000",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Fire Marshal and Emergency Management,No Value,Transfer payments,Grants for Fire Safety
2018-19,"1,717,437",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"1,726,991",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"1,739,278",Attorney General,Operating Expense,Prosecuting Crime Program,Criminal Law,No Value,Transfer payments,Youth Justice Committees
2018-19,"1,743,564",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2018-19,"1,752,587",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Alcohol and Cannabis Policy ,Salaries and wages,No Value
2018-19,"1,767,873","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Salaries and wages,No Value
2018-19,"1,770,219",Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,No Value,Transfer payments,Miscellaneous Grants
2018-19,"1,771,147",Labour,Operating Expense,Labour Relations Program,Dispute Resolution Services,No Value,Services,No Value
2018-19,"1,794,690",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Local Planning Appeal Support Centre,Transfer payments,Human Rights Legal Support Centre
2018-19,"1,801,072",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Ontario Parks Infrastructure,Supplies and equipment,No Value
2018-19,"1,806,858","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Employee benefits,No Value
2018-19,"1,819,223","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Employee benefits,No Value
2018-19,"1,827,927","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Salaries and wages,No Value
2018-19,"1,831,670",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,"Strategy, Stewardship and Program Policy",Employee benefits,No Value
2018-19,"1,838,481",Community Safety and Correctional Services,Capital Expense,Justice Technology Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2018-19,"1,841,128",Energy,Operating Expense,Energy Development and Management,Policy and Programs,No Value,Transfer payments,Smart Grid Fund
2018-19,"1,841,521",Community Safety and Correctional Services,Capital Expense,Public Safety Training,Public Safety Training,No Value,Services,No Value
2018-19,"1,841,722",Education,Operating Expense,Ministry Administration Program,Human Resources,Human Resources,Salaries and wages,Salaries and wages
2018-19,"1,842,906",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2018-19,"1,846,605","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Services,No Value
2018-19,"1,858,008",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Services,No Value
2018-19,"1,858,679",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Supplies and equipment,No Value
2018-19,"1,861,546",Environment and Climate Change,Operating Expense,Environmental Policy and Programs,Environmental Programs,No Value,Employee benefits,No Value
2018-19,"1,863,802",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Salaries and wages,No Value
2018-19,"1,871,182","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Employee benefits,No Value
2018-19,"1,876,015",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Ontario Parks,No Value,Transportation and communication,No Value
2018-19,"1,880,528","Tourism, Culture and Sport",Operating Expense,Culture Program,Culture,No Value,Services,No Value
2018-19,"1,882,287",Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Highway Work-In-Progress,Transportation and communication,No Value
2018-19,"1,886,825","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Services,No Value
2018-19,"1,887,505",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"1,896,607",Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services – Health Cluster,No Value,Transportation and communication,No Value
2018-19,"1,900,204",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Environment and Land Tribunals Ontario,Employee benefits,No Value
2018-19,"1,901,174","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Employee benefits,No Value
2018-19,"1,906,493",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"1,911,297",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Community Services,No Value,Transportation and communication,No Value
2018-19,"1,913,717",International Trade,Operating Expense,International Trade,International Trade,No Value,Employee benefits,No Value
2018-19,"1,913,767",Finance,Operating Expense,Financial Services Industry Regulation Program,Motor Vehicle Accident Claims Fund,No Value,Salaries and wages,No Value
2018-19,"1,914,528","Chief Electoral Officer, Office of the",Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,No Value,Employee benefits,No Value
2018-19,"1,917,735",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"1,921,209",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2018-19,"1,924,900",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Transfer payments,Ontario Indigenous Representative Organization Fund
2018-19,"1,934,557",Municipal Affairs / Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,No Value,Employee benefits,No Value
2018-19,"1,936,512",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Employee benefits,No Value
2018-19,"1,936,631",Transportation,Operating Expense,Road User Safety Program,Road User Safety,No Value,Transportation and communication,No Value
2018-19,"1,941,869",Community Safety and Correctional Services,Operating Expense,Public Safety Training,Public Safety Training,Ontario Police College,Supplies and equipment,No Value
2018-19,"1,951,984",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Salaries and wages,No Value
2018-19,"1,954,664",Government and Consumer Services,Operating Expense,Consumer Services,Consumer Services,No Value,Employee benefits,No Value
2018-19,"1,957,989",Health and Long-Term Care,Operating Expense,Population and Public Health Program,Population and Public Health,No Value,Employee benefits,No Value
2018-19,"1,958,590",Environment and Climate Change,Capital Expense,Environmental Science and Standards ,Environmental Science – Capital ,No Value,Other transactions,Capital Investments
2018-19,"1,959,373","Tourism, Culture and Sport",Operating Expense,Ministry Administration Program,Ministry Administration,Information Technology,Services,No Value
2018-19,"1,960,036","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Transfer payments,Student Entrpreneurship Experience - Summer Company
2018-19,"1,966,303","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Youth Jobs Strategy – Innovation
2018-19,"1,974,118","Premier, Office of the",Operating Expense,Office of the Premier Program,Office of the Premier,No Value,Salaries and wages,No Value
2018-19,"1,975,017",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Niagara Escarpment Commission,Salaries and wages,No Value
2018-19,"1,982,745",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Transportation and communication,No Value
2018-19,"1,988,380",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2018-19,"1,995,424",Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,No Value,Services,No Value
2018-19,"1,998,666",Environment and Climate Change,Operating Expense,Environmental Science and Standards ,Environmental Science and Standards ,No Value,Transfer payments,Environmental Science and Technical Research
2018-19,"2,000,000","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science","Research, Innovation and Science",Transfer payments,Clinical Trials Ontario
2018-19,"2,000,000",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,"Provincial Services, Science and Research",Transfer payments,Support to the operation of the Experimental Lakes Area
2018-19,"2,001,935",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2018-19,"2,005,124","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Human Resources,Salaries and wages,No Value
2018-19,"2,010,341",Advanced Education and Skills Development,Operating Expense,Employment Ontario Program,Employment Ontario System,No Value,Transportation and communication,No Value 
2018-19,"2,011,524","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Employee benefits,No Value
2018-19,"2,021,375",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer payments,Acquired Brain Injury
2018-19,"2,030,623",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2018-19,"2,032,975",Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,No Value,Employee benefits,No Value
2018-19,"2,038,969",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,No Value,Supplies and equipment,No Value
2018-19,"2,040,000",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer payments,Digital Health
2018-19,"2,040,000",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer payments,Digital Health
2018-19,"2,040,166",Northern Development and Mines,Capital Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Owen Sound Transportation Company
2018-19,"2,042,020",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,050,390",Municipal Affairs / Housing,Operating Expense,Local Government and Planning Policy,Local Government and Planning Policy,No Value,Services,No Value
2018-19,"2,063,597",Labour,Operating Expense,Occupational Health and Safety Program,Office of the Worker Adviser,No Value,Employee benefits,No Value
2018-19,"2,070,000","Tourism, Culture and Sport",Operating Expense,Tourism Program,Tourism,No Value,Transfer payments,Ontario Place Corporation
2018-19,"2,077,385",Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services – Health Cluster,No Value,Supplies and equipment,No Value
2018-19,"2,086,071",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Policy and Planning,Services,No Value
2018-19,"2,089,934",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Chief Firearms Office,No Value,Services,No Value
2018-19,"2,090,454",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,No Value,Employee benefits,No Value
2018-19,"2,106,960",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Staff Training,No Value,Services,No Value
2018-19,"2,111,606",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Public Safety and Emergency Response,Transportation and communication,No Value
2018-19,"2,111,893",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2018-19,"2,118,179",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Employee benefits,No Value
2018-19,"2,120,000",Community Safety and Correctional Services,Operating Expense,Emergency Planning and Management,Office of the Chief Coroner and Ontario Forensic Pathology Service,No Value,Transfer payments,Grants for Forensic Services
2018-19,"2,132,410",Natural Resources and Forestry,Capital Expense,Public Protection,Infrastructure for Public Safety and Emergency Response,No Value,Services,No Value
2018-19,"2,143,833",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Victims Compensation
2018-19,"2,164,385","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",Greenhouse Gas Reduction Programs,Transfer payments,Global Market Acceleration Fund
2018-19,"2,166,454","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Services,No Value
2018-19,"2,171,742",Labour,Operating Expense,Occupational Health and Safety Program,Occupational Health and Safety,No Value,Transportation and communication,No Value
2018-19,"2,172,434","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Business Services,Services,No Value
2018-19,"2,195,795","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Supplies and equipment,No Value
2018-19,"2,208,920",Transportation,Operating Expense,Policy and Planning,Urban and Regional Transportation,No Value,Salaries and wages,No Value
2018-19,"2,212,831",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Services,No Value
2018-19,"2,227,041",Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,No Value,Transportation and communication,No Value
2018-19,"2,235,044",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Regional Operations ,No Value,Services,No Value
2018-19,"2,235,044",Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Supplies and equipment,No Value
2018-19,"2,235,151",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Transportation and communication,No Value
2018-19,"2,236,160",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"2,242,738",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Salaries and wages,No Value
2018-19,"2,251,848",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2018-19,"2,253,363",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2018-19,"2,254,600",Municipal Affairs / Housing,Operating Expense,Municipal Services and Building Regulation,Municipal Services and Building Regulation,No Value,Transfer payments,Disaster Recovery Assistance for Ontarians
2018-19,"2,283,339",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Social Justice Tribunals,Transportation and communication,No Value
2018-19,"2,293,740",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Salaries and wages,No Value
2018-19,"2,308,133","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research ,No Value,Salaries and wages,No Value
2018-19,"2,315,726",Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer payments,Assisted Living Services in Supportive Housing
2018-19,"2,331,111","Tourism, Culture and Sport",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Book Publishing Tax Credit
2018-19,"2,337,683",Labour,Operating Expense,Pay Equity Commission Program,Pay Equity Office,No Value,Salaries and wages,No Value
2018-19,"2,338,282",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,356,156",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Employee benefits,No Value
2018-19,"2,363,000",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Transfer payments,Owen Sound Transportation Company
2018-19,"2,365,630",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Transfer payments,Support for Algonquin Negotiation Fund
2018-19,"2,370,292",Community and Social Services,Operating Expense,Poverty Reduction Strategy Program,Poverty Reduction Strategy Office,No Value,Services,No Value
2018-19,"2,378,450",Health and Long-Term Care,Capital Expense,Health Capital Program,Health Capital,No Value,Other transactions,Health Infrastructure Information Systems
2018-19,"2,385,623","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2018-19,"2,400,000",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Transfer payments,Grants for Municipal Reduce Impaired Driving Everywhere (RIDE) Programs
2018-19,"2,408,688",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2018-19,"2,416,626",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,No Value,Services,No Value
2018-19,"2,424,330",Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation,Labour Relations and Compensation,No Value,Employee benefits,No Value
2018-19,"2,425,675","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Transfer payments,Social Enterprise Supports
2018-19,"2,432,994",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Ministry Support Infrastructure,Services,No Value
2018-19,"2,436,229",Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Salaries and wages,No Value
2018-19,"2,444,166",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Transportation and communication,No Value
2018-19,"2,446,747",Indigenous Relations and Reconciliation,Capital Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations Capital Program,No Value,Transfer payments,Indigenous Community Capital Grants Program
2018-19,"2,452,480",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2018-19,"2,453,759",Citizenship and Immigration,Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,No Value,Employee benefits,No Value
2018-19,"2,462,174",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2018-19,"2,463,975","Auditor General, Office of the",Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Employee benefits,No Value
2018-19,"2,479,276",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Environment and Land Tribunals Ontario,Services,No Value
2018-19,"2,490,016",Transportation,Operating Expense,Ministry Administration Program,Business Support,Legal Services,Services,No Value
2018-19,"2,490,712","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,Start-ups and Scale-ups,Transfer payments,Social Enterprise Demonstration Fund
2018-19,"2,513,315",Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,No Value,Transfer payments,Disease Prevention Strategy
2018-19,"2,516,898",Labour,Operating Expense,Occupational Health and Safety Program,Office of the Employer Adviser,No Value,Salaries and wages,No Value
2018-19,"2,519,358",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Audit Services,Salaries and wages,No Value
