Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"123,535,709",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Midwifery Services
2015-16,"49,574,995",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Northern Travel Program
2015-16,"22,785,055",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transfer Payments,Nutrition/Healthy Eating
2015-16,"409,128,498",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Official Local Health Agencies
2015-16,"265,688,673",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transfer Payments,Official Local Health Agencies - Health Promotion
2015-16,"153,617,900",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Ontario Agency for Health Protection and Promotion
2015-16,"30,893,000",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Provincial Programs,Provincial Programs,Transfer Payments,Ontario Breast Screening Program
2015-16,"3,929,127,846",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Transfer Payments,Ontario Drug Programs
2015-16,"1,260,822",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Transfer Payments,Ontario Temporary Health Program for Refugee Claimants
2015-16,"436,524,464",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer Payments,Operation of Hospitals
2015-16,"445,923,699",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North West,Transfer Payments,Operation of Hospitals
2015-16,"532,561,856",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central West,Transfer Payments,Operation of Hospitals
2015-16,"580,770,321",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington,Transfer Payments,Operation of Hospitals
2015-16,"655,141,623",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South East,Transfer Payments,Operation of Hospitals
2015-16,"659,347,656",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Erie St. Clair,Transfer Payments,Operation of Hospitals
2015-16,"949,067,222",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North East,Transfer Payments,Operation of Hospitals
2015-16,"957,896,490",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Mississauga Halton,Transfer Payments,Operation of Hospitals
2015-16,"1,214,275,231",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer Payments,Operation of Hospitals
2015-16,"1,219,065,227",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central,Transfer Payments,Operation of Hospitals
2015-16,"1,540,663,944",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,South West,Transfer Payments,Operation of Hospitals
2015-16,"1,638,542,984",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer Payments,Operation of Hospitals
2015-16,"1,931,929,444",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Hamilton Niagara Haldimand Brant,Transfer Payments,Operation of Hospitals
2015-16,"3,571,880,985",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer Payments,Operation of Hospitals
2015-16,"64,071,350",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Provincial Programs,Provincial Programs,Transfer Payments,Operation of Related Facilities
2015-16,"146,347,901",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Outbreaks of Diseases
2015-16,"158,383,755",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Transfer Payments,Payments for Ambulance and related Emergency Services - Air Ambulance
2015-16,"614,617,625",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Transfer Payments,Payments for Ambulance and related Emergency Services - Municipal Ambulance
2015-16,"65,281,472",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Transfer Payments,Payments for Ambulance and related Emergency Services - Other Ambulance Operations
2015-16,"13,497,314,706",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Payments made for services and for care provided by physicians and practitioners
2015-16,"12,866,800",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transfer Payments,"Prevent Disease, Injury and Addiction"
2015-16,"50,505,287",Ministry of Health and Long-Term Care,Capital Expense,Health Capital,Health Capital,Health Capital,Other Transaction,Provincial Psychiatric Hospitals Divestment
2015-16,"150,000",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Public Health Associations
2015-16,"8,392,111",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Quality Health Initiatives
2015-16,"4,748,900",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Quality Management Program - Laboratory Services
2015-16,"-18,000",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,Recoveries
2015-16,"3,676,867",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Sexually Transmitted Diseases Control
2015-16,"10,575,357",Ministry of Health and Long-Term Care,Capital Expense,Health Capital,Health Capital,Health Capital,Transfer Payments,Small Hospital Projects
2015-16,"46,900,697",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transfer Payments,Smoke-Free Ontario
2015-16,"30,642,050",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Waterloo Wellington,Transfer Payments,Speciality Psychiatric Hospital Services
2015-16,"102,418,141",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Champlain,Transfer Payments,Speciality Psychiatric Hospital Services
2015-16,"117,692,037",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Central East,Transfer Payments,Speciality Psychiatric Hospital Services
2015-16,"120,750,514",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,North Simcoe Muskoka,Transfer Payments,Speciality Psychiatric Hospital Services
2015-16,"260,941,393",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Local Health Integration Networks and Related Health Service Providers,Toronto Central,Transfer Payments,Speciality Psychiatric Hospital Services
2015-16,"26,442,556",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Teletriage Services
2015-16,"8,125,322",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transfer Payments,Tuberculosis Prevention
2015-16,"23,732,199",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transfer Payments,Underserviced Area Plan
2015-16,"358,316",Ministry of Health and Long-Term Care,Capital Expense,eHealth and Information Management Program,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"16,451,583",Ministry of Health and Long-Term Care,Capital Expense,Information Systems,Amortization,Statutory Appropriations,Other Transaction,
2015-16,"461,527",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,Assistive Devices Program,Employee Benefits,
2015-16,"2,447,491",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,Assistive Devices Program,Salaries and Wages,
2015-16,"995,194",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,Assistive Devices Program,Services,
2015-16,"33,096",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,Assistive Devices Program,Supplies and equipment,
2015-16,"630,007",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Assistive Devices Program,Assistive Devices Program,Transportation and Communication,
2015-16,"308,000",Ministry of Health and Long-Term Care,Operating Expense,Local Health Integration Networks and Related Health Service Providers,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"282,000",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"1,335,177",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Employee Benefits,
2015-16,"9,150,626",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Salaries and Wages,
2015-16,"14,848,861",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Services,
2015-16,"76,763",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Supplies and equipment,
2015-16,"589,010",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Drug Programs,Drug Programs,Transportation and Communication,
2015-16,"2,997,948",Ministry of Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,e-Health and Information Management,e-Health and Information Management,Employee Benefits,
2015-16,"19,810,339",Ministry of Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,e-Health and Information Management,e-Health and Information Management,Salaries and Wages,
2015-16,"33,033,145",Ministry of Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,e-Health and Information Management,e-Health and Information Management,Services,
2015-16,"369,887",Ministry of Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,e-Health and Information Management,e-Health and Information Management,Supplies and equipment,
2015-16,"349,233",Ministry of Health and Long-Term Care,Operating Expense,eHealth and Information Management Program,e-Health and Information Management,e-Health and Information Management,Transportation and Communication,
2015-16,"7,508,856",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Employee Benefits,
2015-16,"43,674,795",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Salaries and Wages,
2015-16,"9,202,087",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Services,
2015-16,"408,782",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Supplies and equipment,
2015-16,"1,939,986",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Emergency Health Services,Emergency Health Services,Transportation and Communication,
2015-16,"3,111,274",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Employee Benefits,
2015-16,"16,694,444",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Salaries and Wages,
2015-16,"5,548,270",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Services,
2015-16,"95,262",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Supplies and equipment,
2015-16,"391,667",Ministry of Health and Long-Term Care,Operating Expense,Health Policy and Research Program,Health Policy and Research,Health Policy and Research,Transportation and Communication,
2015-16,"968,925",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Employee Benefits,
2015-16,"5,097,539",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Salaries and Wages,
2015-16,"11,811,046",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Services,
2015-16,"44,181",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Supplies and equipment,
2015-16,"84,124",Ministry of Health and Long-Term Care,Operating Expense,Health Promotion,Health Promotion,Health Promotion,Transportation and Communication,
2015-16,"6,420,728",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Employee Benefits,
2015-16,"46,543,137",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Salaries and Wages,
2015-16,"83,412,741",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Services,
2015-16,"1,776,034",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Supplies and equipment,
2015-16,"5,262,042",Ministry of Health and Long-Term Care,Operating Expense,Information Systems,Information Technology Services - Health Cluster,Information Technology Services - Health Cluster,Transportation and Communication,
2015-16,"49,301",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"378,473",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee Benefits,
2015-16,"506,880",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee Benefits,
2015-16,"1,084,135",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Employee Benefits,
2015-16,"11,907,882",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee Benefits,
2015-16,"2,450,942",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and Wages,
2015-16,"4,161,970",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and Wages,
2015-16,"7,826,131",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Salaries and Wages,
2015-16,"41,649,973",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and Wages,
2015-16,"675,941",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2015-16,"715,259",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2015-16,"3,059,025",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"3,106,625",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2015-16,"3,899,732",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Services,
2015-16,"26,015,285",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,
2015-16,"13,499",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,
2015-16,"16,931",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2015-16,"31,294",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Supplies and equipment,
2015-16,"51,120",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,"495,171",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2015-16,"34,672",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and Communication,
2015-16,"53,715",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"149,195",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Communication Services,Transportation and Communication,
2015-16,"158,665",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and Communication,
2015-16,"2,626,221",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and Communication,
2015-16,"9,212,488",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Employee Benefits,
2015-16,"51,275,036",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Salaries and Wages,
2015-16,"20,600,148",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Services,
2015-16,"432,815",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Supplies and equipment,
2015-16,"2,952,078",Ministry of Health and Long-Term Care,Operating Expense,Ontario Health Insurance Program,Ontario Health Insurance,Ontario Health Insurance,Transportation and Communication,
2015-16,"201,584",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,Ontario Review Board,Employee Benefits,
2015-16,"1,277,509",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,Ontario Review Board,Salaries and Wages,
2015-16,"4,220,887",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,Ontario Review Board,Services,
2015-16,"27,760",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,Ontario Review Board,Supplies and equipment,
2015-16,"605,902",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ontario Review Board,Ontario Review Board,Transportation and Communication,
2015-16,"33,334",Ministry of Health and Long-Term Care,Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"1,446,484",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Employee Benefits,
2015-16,"10,588,829",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Salaries and Wages,
2015-16,"15,729,228",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Services,
2015-16,"542,241",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Supplies and equipment,
2015-16,"494,115",Ministry of Health and Long-Term Care,Operating Expense,Public Health Program,Public Health,Public Health,Transportation and Communication,
2015-16,"4,598,694",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Employee Benefits,
2015-16,"31,040,084",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Salaries and Wages,
2015-16,"12,517,128",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Services,
2015-16,"213,734",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Supplies and equipment,
2015-16,"2,356,554",Ministry of Health and Long-Term Care,Operating Expense,Provincial Programs and Stewardship,Stewardship,Stewardship,Transportation and Communication,
2015-16,"41,981",Ministry of Labour,Operating Expense,Pay Equity Commission,Pay Equity Office,Pay Equity Office,Transfer Payments,Gender Wage Gap Transfer Payment
2015-16,"285,000",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Transfer Payments,Grants to promote improved health and safety practices
2015-16,"40,000",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Transfer Payments,Grants to Radiation Safety Institute of Canada
2015-16,"90,385,918",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Transfer Payments,Health and Safety Associations
2015-16,"426,233",Ministry of Labour,Capital Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Transfer Payments,Health and Safety Associations Capital
2015-16,"2,037,439",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Transfer Payments,Prevention Grants
2015-16,"7,348,679",Ministry of Labour,Operating Expense,Occupational Health and Safety,Prevention Office,Prevention Office,Transfer Payments,Prevention Research
2015-16,"-1,015,836",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Recoveries,Recoveries
2015-16,"10,593",Ministry of Labour,Operating Expense,Ministry Administration Program,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"546,893",Ministry of Labour,Operating Expense,Labour Relations,Dispute Resolution Services,Dispute Resolution Services,Employee Benefits,
2015-16,"5,041,873",Ministry of Labour,Operating Expense,Labour Relations,Dispute Resolution Services,Dispute Resolution Services,Salaries and Wages,
2015-16,"2,154,166",Ministry of Labour,Operating Expense,Labour Relations,Dispute Resolution Services,Dispute Resolution Services,Services,
2015-16,"34,406",Ministry of Labour,Operating Expense,Labour Relations,Dispute Resolution Services,Dispute Resolution Services,Supplies and equipment,
2015-16,"456,823",Ministry of Labour,Operating Expense,Labour Relations,Dispute Resolution Services,Dispute Resolution Services,Transportation and Communication,
2015-16,"3,770,372",Ministry of Labour,Operating Expense,Employment Rights and Responsibilities,Employment Standards,Employment Standards,Employee Benefits,
2015-16,"24,346,850",Ministry of Labour,Operating Expense,Employment Rights and Responsibilities,Employment Standards,Employment Standards,Salaries and Wages,
2015-16,"10,275,702",Ministry of Labour,Operating Expense,Employment Rights and Responsibilities,Employment Standards,Employment Standards,Services,
2015-16,"206,671",Ministry of Labour,Operating Expense,Employment Rights and Responsibilities,Employment Standards,Employment Standards,Supplies and equipment,
2015-16,"1,251,244",Ministry of Labour,Operating Expense,Employment Rights and Responsibilities,Employment Standards,Employment Standards,Transportation and Communication,
2015-16,"65,939",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Employee Benefits,
2015-16,"451,822",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Salaries and Wages,
2015-16,"1,776,603",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Services,
2015-16,"8,827",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Supplies and equipment,
2015-16,"83,753",Ministry of Labour,Operating Expense,Labour Relations,Grievance Settlement Board,Grievance Settlement Board,Transportation and Communication,
2015-16,"49,301",Ministry of Labour,Operating Expense,Ministry Administration Program,Minister's Salary,Main Office,Salaries and Wages,
2015-16,"134,775",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Organizational Effectiveness,Employee Benefits,
2015-16,"223,318",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee Benefits,
2015-16,"370,284",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee Benefits,
2015-16,"394,375",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee Benefits,
2015-16,"220,000",Ministry of Labour,Capital Expense,Ministry Administration Program,Ministry Administration,Other transactions,Other Transaction,
2015-16,"979,611",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Organizational Effectiveness,Salaries and Wages,
2015-16,"1,802,506",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and Wages,
2015-16,"2,539,348",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and Wages,
2015-16,"2,569,346",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and Wages,
2015-16,"167,896",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,
2015-16,"315,968",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2015-16,"411,721",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Organizational Effectiveness,Services,
2015-16,"448,859",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2015-16,"791,234",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,
2015-16,"1,882,466",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2015-16,"6,837,207",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"22,203",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,
2015-16,"22,710",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2015-16,"23,232",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Organizational Effectiveness,Supplies and equipment,
2015-16,"32,546",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2015-16,"71,758",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,"20,570",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Organizational Effectiveness,Transportation and Communication,
2015-16,"36,689",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and Communication,
2015-16,"61,634",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and Communication,
2015-16,"94,746",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and Communication,
2015-16,"226,847",Ministry of Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"8,259,466",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Employee Benefits,
2015-16,"220,000",Ministry of Labour,Capital Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Other Transaction,
2015-16,"57,932,310",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Salaries and Wages,
2015-16,"17,161,803",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Services,
2015-16,"1,230,098",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Supplies and equipment,
2015-16,"3,326,531",Ministry of Labour,Operating Expense,Occupational Health and Safety,Occupational Health and Safety,Occupational Health and Safety,Transportation and Communication,
