Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"302,000",Health,Operating Expense,Provincial Programs and Stewardship Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"48,817,303",Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,No Value,Salaries and wages,No Value
2021-22,"6,669,256",Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,No Value,Employee benefits,No Value
2021-22,"3,401,002",Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,No Value,Transportation and communication,No Value
2021-22,"182,661,020",Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,No Value,Services,No Value
2021-22,"3,707,350",Health,Operating Expense,Information Systems Program,Information Technology Services – Health Cluster,No Value,Supplies and equipment,No Value
2021-22,"1,014,777",Health,Operating Expense,Information Systems Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"15,593,201",Health,Capital Expense,Information Systems Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"22,986,628,589",Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Operation of Hospitals
2021-22,"3,616,950",Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Grants to Compensate for Municipal Taxation - Hospitals
2021-22,"777,118,045",Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Specialty Psychiatric Hospitals
2021-22,"133,350",Health,Operating Expense,Health Services and Programs,Health Services,Hospitals,Transfer payments,Grants to Compensate for Municipal Taxation - Specialty Psychiatric Hospitals
2021-22,"3,356,535,519",Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Home Care
2021-22,"766,921,381",Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Community Support Services
2021-22,"396,427,723",Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Assisted Living Services in Supportive Housing
2021-22,"528,882,410",Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Community Health Centres
2021-22,"70,637,152",Health,Operating Expense,Health Services and Programs,Health Services,Community,Transfer payments,Acquired Brain Injury
2021-22,"1,027,619,450",Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Community Mental Health
2021-22,"297,719,406",Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Addiction Programs
2021-22,"472,365,006",Health,Operating Expense,Health Services and Programs,Health Services,Mental Health and Addictions,Transfer payments,Child and Youth Mental Health
2021-22,"372,433,443",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Digital Health
2021-22,"32,447,449",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Health Quality Programs
2021-22,"249,851,976",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Regional Coordination Operations Support
2021-22,"2,071,296,759",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Cancer Treatment Services
2021-22,"59,473,000",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Organ and Tissue Donation and Transplantation Services
2021-22,"80,774,300",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Cancer Screening Programs
2021-22,"17,718,050",Health,Operating Expense,Health Services and Programs,Programs and Administration,No Value,Transfer payments,Health Workforce Programs
2021-22,"5,000,000",Health,Capital Expense,Health Services and Programs,Digital Health Capital,No Value,Transfer payments,Digital Health Capital
2021-22,"1,151,646,561",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Major Hospital Projects
2021-22,"175,000,000",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Health Infrastructure Renewal Fund
2021-22,"130,158,329",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Small Hospital Projects
2021-22,"34,500,000",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Medical and Diagnostic Equipment Fund
2021-22,"64,057,893",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Community Health Programs
2021-22,"2,718,150",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Transfer payments,Integrated Health Facility Programs
2021-22,"30,209",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Other transactions,Provincial Psychiatric Hospitals Divestment
2021-22,"814,019",Health,Capital Expense,Health Capital Program,Health Capital,No Value,Other transactions,Health Infrastructure Information Systems
2021-22,"2,580,710","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"371,501","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"163,709","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"365,424","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"14,027","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"2,463,861","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"316,200","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"9,117","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"852,376","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"12,837","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"2,100,066","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Information Technology,Services,No Value
2021-22,"14,846","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"2,774,961","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"3,264","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"5,851,298","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Salaries and wages,No Value
2021-22,"1,107,518","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Employee benefits,No Value
2021-22,"76,782","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Transportation and communication,No Value
2021-22,"-68,041","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Services,No Value
2021-22,"54,570","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Supplies and equipment,No Value
2021-22,"100,520","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Regional Services,Transfer payments,Summer Experience Program (SEP)
2021-22,"1,857,510","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2021-22,"234,894","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"6,139","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"5,650","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,581,"Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"3,241,482","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Support Services,Salaries and wages,No Value
2021-22,"418,462","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Support Services,Employee benefits,No Value
2021-22,"17,390","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Support Services,Transportation and communication,No Value
2021-22,"176,523","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Support Services,Services,No Value
2021-22,"4,367","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Support Services,Supplies and equipment,No Value
2021-22,"1,809,553","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Policy Development and Planning,Salaries and wages,No Value
2021-22,"229,564","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Policy Development and Planning,Employee benefits,No Value
2021-22,"7,504","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Policy Development and Planning,Transportation and communication,No Value
2021-22,"24,098","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Policy Development and Planning,Services,No Value
2021-22,"49,301","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"37,859","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2021-22,"5,652,200","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Salaries and wages,No Value
2021-22,"829,178","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Employee benefits,No Value
2021-22,"103,265","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Transportation and communication,No Value
2021-22,"1,854,606","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Services,No Value
2021-22,"97,886","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Supplies and equipment,No Value
2021-22,"57,213,854","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Transfer payments,Sport
2021-22,"20,239,999","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Transfer payments,Active Recreation
2021-22,"45,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community",No Value,Transfer payments,Recognition
2021-22,"11,073,166","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Salaries and wages,No Value
2021-22,"1,703,525","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Employee benefits,No Value
2021-22,"78,562","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transportation and communication,No Value
2021-22,"2,243,722","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Services,No Value
2021-22,"22,625","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Supplies and equipment,No Value
2021-22,"37,224,499","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Grants in Support for Tourism Regions
2021-22,"45,452,061","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Grants in Support of the Festival and Event Attractions and Support Program
2021-22,"100,603,203","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Grants in Support of Tourism Investment Development
2021-22,"70,000,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Tourism Recovery and Support - Personal Income Tax Staycation Tax Credit
2021-22,"6,802,500","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Ontario Grant for Faith-Based and Cultural Organizations
2021-22,"2,162,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Arts Sector Support
2021-22,"5,942,928","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Heritage Sector Support
2021-22,"26,996,487","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Libraries Sector Support
2021-22,"7,000,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs","Heritage, Tourism and Culture Programs",No Value,Transfer payments,Ontario Music Investment Fund
2021-22,"82,596","Heritage, Sport, Tourism and Culture Industries",Operating Expense,"Heritage, Tourism and Culture Programs",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"178,557,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Trillium Foundation Program,Ontario Trillium Foundation,No Value,Transfer payments,Ontario Trillium Foundation
2021-22,"3,706,874","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Book Publishing Tax Credit
2021-22,"80,022,300","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Computer Animation and Special Effects Tax Credit
2021-22,"261,417,596","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Film and Television Tax Credit
2021-22,"50,067,500","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Interactive Digital Media Tax Credit
2021-22,"382,014,199","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Production Services Tax Credit
2021-22,"19,867","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Ontario Cultural Media Tax Credits,Ontario Cultural Media Tax Credits,No Value,Transfer payments,Ontario Sound Recording Tax Credit
2021-22,"2,036,220","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Salaries and wages,No Value
2021-22,"263,979","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Employee benefits,No Value
2021-22,"7,823","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Transportation and communication,No Value
2021-22,"155,878","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Services,No Value
2021-22,"7,088","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Supplies and equipment,No Value
2021-22,"2,070,000","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Transformation and Delivery,Transfer payments,Ontario Place Corporation
2021-22,"7,844,993","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Salaries and wages,No Value
2021-22,"1,170,742","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Employee benefits,No Value
2021-22,"66,573","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transportation and communication,No Value
2021-22,"2,150,055","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Services,No Value
2021-22,"846,398","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Supplies and equipment,No Value
2021-22,"3,328,800","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,McMichael Canadian Collection
2021-22,"64,937,400","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Ontario Arts Council
2021-22,"28,450,300","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Ontario Media Development Corporation
2021-22,"3,829,300","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Ontario Heritage Trust
2021-22,"19,364,100","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Ontario Science Centre
2021-22,"4,036,040","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Royal Botanical Gardens
2021-22,"27,280,900","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Royal Ontario Museum
2021-22,"6,828,900","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Science North
2021-22,"7,122,800","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,St. Lawrence Parks Commission
2021-22,"32,967,500","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Ontario Tourism Marketing Partnership Corporation
2021-22,"80,746,380","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Agencies and Attractions Sector Support
2021-22,"21,072,300","Heritage, Sport, Tourism and Culture Industries",Operating Expense,Agency Programs,Agency Programs,Agency Relations and Accountability,Transfer payments,Art Gallery of Ontario
2021-22,"14,784,638","Heritage, Sport, Tourism and Culture Industries",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Services,No Value
2021-22,"416,268","Heritage, Sport, Tourism and Culture Industries",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Supplies and equipment,No Value
2021-22,"21,194,885","Heritage, Sport, Tourism and Culture Industries",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Transfer payments,Repairs and Rehabilitation Capital
2021-22,"11,600,000","Heritage, Sport, Tourism and Culture Industries",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Transfer payments,Grants in Support of Sport and Recreation
2021-22,"8,916,924","Heritage, Sport, Tourism and Culture Industries",Capital Expense,Tourism and Culture Capital Program,Tourism and Culture Capital,No Value,Transfer payments,Grants in Support of Culture
2021-22,"11,377,316",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Salaries and wages,No Value
2021-22,"1,485,344",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Employee benefits,No Value
2021-22,"71,845",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transportation and communication,No Value
2021-22,"7,671,491",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Services,No Value
2021-22,"23,264",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Supplies and equipment,No Value
2021-22,"1,675,555",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Ontario Indigenous Representative Organization Fund
2021-22,"6,996,008",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Indigenous Economic Development Fund
2021-22,"6,698,273",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Participation Fund
2021-22,"11,550,823",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Support for Community Negotiations Fund
2021-22,"861,082",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Mercury Disability Fund - Administration
2021-22,"2,569,756",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Policy Development Engagement Fund
2021-22,"12,967,044",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,New Relationship Fund
2021-22,"3,010,000",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Métis Economic Development Fund
2021-22,"7,747,605",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Transfer payments,Support for Indian Residential School Burial Sites
2021-22,"-1,909,600",Indigenous Affairs,Operating Expense,Ministry Administration Program,Indigenous Affairs,No Value,Recoveries,No Value
2021-22,"55,280",Indigenous Affairs,Operating Expense,Ministry Administration Program,Land Claims and Self-Government Initiatives,No Value,Services,No Value
2021-22,"17,335,414",Indigenous Affairs,Operating Expense,Ministry Administration Program,Land Claims and Self-Government Initiatives,No Value,Transfer payments,Land Claim Settlements
2021-22,"4,409,732",Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Salaries and wages,No Value
2021-22,"587,116",Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Employee benefits,No Value
2021-22,"79,325",Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Transportation and communication,No Value
2021-22,"5,302,943",Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Services,No Value
2021-22,"273,226",Indigenous Affairs,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Supplies and equipment,No Value
2021-22,"134,457,500",Indigenous Affairs,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Transfer payments,"Mercury Disability Fund - Trustee, English and Wabigoon River Systems Mercury Contamination Settlement Agreement Act, 1986"
2021-22,"5,915,422",Indigenous Affairs,Capital Expense,Ministry Administration Program,Indigenous Affairs Capital Program,No Value,Transfer payments,Indigenous Community Capital Grants Program
2021-22,"651,105",Indigenous Affairs,Capital Expense,Ministry Administration Program,Indigenous Affairs Capital Program,No Value,Transfer payments,Negotiated Settlements
2021-22,"1,768,133",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"240,975",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"13,676",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"56,646",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,24,Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"1,462,053",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"220,845",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"6,485",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"231,641",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"5,708",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"1,321",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"722,902",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,413,Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"1,344,781",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Salaries and wages,No Value
2021-22,"168,199",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Employee benefits,No Value
2021-22,"9,177",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Transportation and communication,No Value
2021-22,"315,944",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Services,No Value
2021-22,"3,870",Infrastructure,Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Supplies and equipment,No Value
2021-22,"49,301",Infrastructure,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
2021-22,"16,667",Infrastructure,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act"
2021-22,"4,813,658",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,"Policy, Research & Agency Division",Salaries and wages,No Value
2021-22,"634,828",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,"Policy, Research & Agency Division",Employee benefits,No Value
2021-22,"21,723",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,"Policy, Research & Agency Division",Transportation and communication,No Value
2021-22,"448,015",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,"Policy, Research & Agency Division",Services,No Value
2021-22,"6,296",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,"Policy, Research & Agency Division",Supplies and equipment,No Value
2021-22,"7,237,806",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Salaries and wages,No Value
2021-22,"916,089",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Employee benefits,No Value
2021-22,"30,039",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Transportation and communication,No Value
2021-22,"19,816,460",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Services,No Value
2021-22,"6,657",Infrastructure,Operating Expense,Infrastructure Policy and Planning Program,Infrastructure Policy and Planning,Infrastructure Policy,Supplies and equipment,No Value
